seqid,source,type,start,end,score,strand,phase,length,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,substrain,gene,gene_biotype,gene_synonym,locus_tag,Parent,product,protein_id,transl_table,mobile_element_type,Note,pseudo,orig_protein_id,exception,transl_except
NC_000913.3,RefSeq,gene,34781,35371,,-,,591,gene-b0035,"ECOCYC:EG12608,GeneID:948999",,caiE,Gene,,,,,caiE,protein_coding,ECK0036,b0035,,,,,,,,,,
NC_000913.3,RefSeq,gene,35377,36162,,-,,786,gene-b0036,"ECOCYC:EG11557,GeneID:948995",,caiD,Gene,,,,,caiD,protein_coding,"ECK0037,yaaL",b0036,,,,,,,,,,
NC_000913.3,RefSeq,gene,36271,37824,,-,,1554,gene-b0037,"ECOCYC:EG11558,GeneID:944886",,caiC,Gene,,,,,caiC,protein_coding,"ECK0038,yaaM",b0037,,,,,,,,,,
NC_000913.3,RefSeq,gene,37898,39115,,-,,1218,gene-b0038,"ECOCYC:EG11559,GeneID:948997",,caiB,Gene,,,,,caiB,protein_coding,"ECK0039,yaaN",b0038,,,,,,,,,,
NC_000913.3,RefSeq,gene,39244,40386,,-,,1143,gene-b0039,"ECOCYC:EG11560,GeneID:949064",,caiA,Gene,,,,,caiA,protein_coding,"ECK0040,yaaO",b0039,,,,,,,,,,
NC_000913.3,RefSeq,gene,40417,41931,,-,,1515,gene-b0040,"ECOCYC:EG11561,GeneID:944765",,caiT,Gene,,,,,caiT,protein_coding,"ECK0041,yaaP",b0040,,,,,,,,,,
NC_000913.3,RefSeq,gene,42403,43173,,+,,771,gene-b0041,"ECOCYC:EG11562,GeneID:947316",,fixA,Gene,,,,,fixA,protein_coding,"ECK0042,yaaQ",b0041,,,,,,,,,,
NC_000913.3,RefSeq,gene,43188,44129,,+,,942,gene-b0042,"ECOCYC:EG11563,GeneID:948939",,fixB,Gene,,,,,fixB,protein_coding,"ECK0043,yaaR",b0042,,,,,,,,,,
NC_000913.3,RefSeq,gene,44180,45466,,+,,1287,gene-b0043,"ECOCYC:EG11564,GeneID:948958",,fixC,Gene,,,,,fixC,protein_coding,"ECK0044,yaaS",b0043,,,,,,,,,,
NC_000913.3,RefSeq,gene,45463,45750,,+,,288,gene-b0044,"ECOCYC:EG11565,GeneID:948590",,fixX,Gene,,,,,fixX,protein_coding,"ECK0045,yaaT",b0044,,,,,,,,,,
NC_000913.3,RefSeq,gene,45807,47138,,+,,1332,gene-b0045,"ECOCYC:EG11566,GeneID:944766",,yaaU,Gene,,,,,yaaU,protein_coding,"ECK0046,yabE",b0045,,,,,,,,,,
NC_000913.3,RefSeq,gene,47246,47776,,+,,531,gene-b0046,"ECOCYC:EG11568,GeneID:944767",,kefF,Gene,,,,,kefF,protein_coding,"ECK0047,yabF",b0046,,,,,,,,,,
NC_000913.3,RefSeq,gene,47769,49631,,+,,1863,gene-b0047,"ECOCYC:EG10521,GeneID:944773",,kefC,Gene,,,,,kefC,protein_coding,"ECK0048,trkC",b0047,,,,,,,,,,
NC_000913.3,RefSeq,gene,49823,50302,,+,,480,gene-b0048,"ECOCYC:EG10326,GeneID:944790",,folA,Gene,,,,,folA,protein_coding,"ECK0049,tmr,tmrA",b0048,,,,,,,,,,
NC_000913.3,RefSeq,gene,50380,51222,,-,,843,gene-b0049,"ECOCYC:EG10048,GeneID:944770",,apaH,Gene,,,,,apaH,protein_coding,"cfcB,ECK0050",b0049,,,,,,,,,,
NC_000913.3,RefSeq,gene,51229,51606,,-,,378,gene-b0050,"ECOCYC:EG10047,GeneID:944772",,apaG,Gene,,,,,apaG,protein_coding,ECK0051,b0050,,,,,,,,,,
NC_000913.3,RefSeq,gene,51609,52430,,-,,822,gene-b0051,"ECOCYC:EG10523,GeneID:944939",,rsmA,Gene,,,,,rsmA,protein_coding,"ECK0052,ksgA",b0051,,,,,,,,,,
NC_000913.3,RefSeq,gene,52427,53416,,-,,990,gene-b0052,"ECOCYC:EG10691,GeneID:944919",,pdxA,Gene,,,,,pdxA,protein_coding,ECK0053,b0052,,,,,,,,,,
NC_000913.3,RefSeq,gene,53416,54702,,-,,1287,gene-b0053,"ECOCYC:EG10985,GeneID:944812",,surA,Gene,,,,,surA,protein_coding,ECK0054,b0053,,,,,,,,,,
NC_000913.3,RefSeq,gene,54755,57109,,-,,2355,gene-b0054,"ECOCYC:EG11569,GeneID:945011",,lptD,Gene,,,,,lptD,protein_coding,"ECK0055,imp,ostA,yabG",b0054,,,,,,,,,,
NC_000913.3,RefSeq,gene,57364,58179,,+,,816,gene-b0055,"ECOCYC:EG11570,GeneID:948992",,djlA,Gene,,,,,djlA,protein_coding,"ECK0056,yabH",b0055,,,,,,,,,,
NC_000913.3,RefSeq,gene,58474,59124,,+,,651,gene-b0056,"ECOCYC:EG12610,GeneID:945039",,yabP,Gene,,,,,yabP,protein_coding,"b4659,ECK0057",b0056,,,,,,,,,,
NC_000913.3,RefSeq,gene,59121,59279,,+,,159,gene-b0057,"ECOCYC:EG12611,GeneID:38094933",,yabQ,Gene,,,,,yabQ,protein_coding,"b4659,ECK0058",b0057,,,,,,,,,,
NC_000913.3,RefSeq,gene,59687,60346,,-,,660,gene-b0058,"ECOCYC:EG12609,GeneID:946262",,rluA,Gene,,,,,rluA,protein_coding,"ECK0059,yabO",b0058,,,,,,,,,,
NC_000913.3,RefSeq,gene,60358,63264,,-,,2907,gene-b0059,"ECOCYC:EG11083,GeneID:948523",,rapA,Gene,,,,,rapA,protein_coding,"ECK0060,hepA,yabA",b0059,,,,,,,,,,
NC_000913.3,RefSeq,gene,63429,65780,,-,,2352,gene-b0060,"ECOCYC:EG10747,GeneID:944779",,polB,Gene,,,,,polB,protein_coding,"dinA,ECK0061",b0060,,,,,,,,,,
NC_000913.3,RefSeq,gene,65855,66550,,-,,696,gene-b0061,"ECOCYC:EG10055,GeneID:945294",,araD,Gene,,,,,araD,protein_coding,ECK0062,b0061,,,,,,,,,,
NC_000913.3,RefSeq,gene,66835,68337,,-,,1503,gene-b0062,"ECOCYC:EG10052,GeneID:947511",,araA,Gene,,,,,araA,protein_coding,ECK0063,b0062,,,,,,,,,,
NC_000913.3,RefSeq,gene,68348,70048,,-,,1701,gene-b0063,"ECOCYC:EG10053,GeneID:946017",,araB,Gene,,,,,araB,protein_coding,ECK0064,b0063,,,,,,,,,,
NC_000913.3,RefSeq,gene,70387,71265,,+,,879,gene-b0064,"ECOCYC:EG10054,GeneID:944780",,araC,Gene,,,,,araC,protein_coding,ECK0065,b0064,,,,,,,,,,
NC_000913.3,RefSeq,gene,71351,72115,,+,,765,gene-b0065,"ECOCYC:EG11571,GeneID:944783",,yabI,Gene,,,,,yabI,protein_coding,ECK0066,b0065,,,,,,,,,,
NC_000913.3,RefSeq,gene,72229,72927,,-,,699,gene-b0066,"ECOCYC:EG11572,GeneID:944785",,thiQ,Gene,,,,,thiQ,protein_coding,"ECK0067,sfuC,yabJ",b0066,,,,,,,,,,
NC_000913.3,RefSeq,gene,72911,74521,,-,,1611,gene-b0067,"ECOCYC:EG11573,GeneID:944784",,thiP,Gene,,,,,thiP,protein_coding,"ECK0068,sfuB,yabK",b0067,,,,,,,,,,
NC_000913.3,RefSeq,gene,74497,75480,,-,,984,gene-b0068,"ECOCYC:EG11574,GeneID:946306",,thiB,Gene,,,,,thiB,protein_coding,"ECK0069,sfuA,tbpA,yabL",b0068,,,,,,,,,,
NC_000913.3,RefSeq,gene,75516,75608,,-,,93,gene-b4762,"ECOCYC:G0-9381,GeneID:63925622",,sroA,Gene,,,,,sroA,ncRNA,"ECK4619,tpe79",b4762,,,,,,,,,,
NC_000913.3,RefSeq,gene,75644,77299,,-,,1656,gene-b0069,"ECOCYC:EG12094,GeneID:944788",,sgrR,Gene,,,,,sgrR,protein_coding,"ECK0070,yabN",b0069,,,,,,,,,,
NC_000913.3,RefSeq,gene,77367,77593,,+,,227,gene-b4577,"ECOCYC:G0-9941,GeneID:4056038",,sgrS,Gene,,,,,sgrS,ncRNA,"ECK0071,ryaA",b4577,,,,,,,,,,
NC_000913.3,RefSeq,gene,77388,77519,,+,,132,gene-b4662,"ECOCYC:G0-10617,GeneID:7751624",,sgrT,Gene,,,,,sgrT,protein_coding,ECK4477,b4662,,,,,,,,,,
NC_000913.3,RefSeq,gene,77621,78799,,+,,1179,gene-b0070,"ECOCYC:EG11754,GeneID:944793",,setA,Gene,,,,,setA,protein_coding,"ECK0072,yabM",b0070,,,,,,,,,,
NC_000913.3,RefSeq,gene,78848,79453,,-,,606,gene-b0071,"ECOCYC:EG11575,GeneID:945642",,leuD,Gene,,,,,leuD,protein_coding,ECK0073,b0071,,,,,,,,,,
NC_000913.3,RefSeq,gene,79464,80864,,-,,1401,gene-b0072,"ECOCYC:EG11576,GeneID:945076",,leuC,Gene,,,,,leuC,protein_coding,ECK0074,b0072,,,,,,,,,,
NC_000913.3,RefSeq,gene,80867,81958,,-,,1092,gene-b0073,"ECOCYC:EG11577,GeneID:944798",,leuB,Gene,,,,,leuB,protein_coding,ECK0075,b0073,,,,,,,,,,
NC_000913.3,RefSeq,gene,81958,83529,,-,,1572,gene-b0074,"ECOCYC:EG11226,GeneID:947465",,leuA,Gene,,,,,leuA,protein_coding,ECK0076,b0074,,,,,,,,,,
NC_000913.3,RefSeq,gene,83622,83708,,-,,87,gene-b0075,"ECOCYC:EG11280,GeneID:946072",,leuL,Gene,,,,,leuL,protein_coding,"ECK0077,leuIP,leulL,leulLP,leuLP",b0075,,,,,,,,,,
NC_000913.3,RefSeq,gene,84368,85312,,+,,945,gene-b0076,"ECOCYC:EG10531,GeneID:949034",,leuO,Gene,,,,,leuO,protein_coding,ECK0078,b0076,,,,,,,,,,
NC_000913.3,RefSeq,gene,85467,85511,,-,,45,gene-b4726,"ECOCYC:G0-16721,GeneID:38094934",,yabR,Gene,,,,,yabR,protein_coding,ECK4583,b4726,,,,,,,,,,
NC_000913.3,RefSeq,gene,85630,87354,,+,,1725,gene-b0077,"ECOCYC:EG10500,GeneID:948793",,ilvI,Gene,,,,,ilvI,protein_coding,ECK0079,b0077,,,,,,,,,,
NC_000913.3,RefSeq,gene,87357,87848,,+,,492,gene-b0078,"ECOCYC:EG10499,GeneID:947267",,ilvH,Gene,,,,,ilvH,protein_coding,"brnP,ECK0080",b0078,,,,,,,,,,
NC_000913.3,RefSeq,gene,88028,89032,,+,,1005,gene-b0080,"ECOCYC:EG10338,GeneID:944804",,cra,Gene,,,,,cra,protein_coding,"ECK0081,fruC,fruR,shl",b0080,,,,,,,,,,
NC_000913.3,RefSeq,gene,89634,90092,,+,,459,gene-b0081,"ECOCYC:EG11084,GeneID:944810",,mraZ,Gene,,,,,mraZ,protein_coding,"ECK0082,yabB",b0081,,,,,,,,,,
NC_000913.3,RefSeq,gene,90094,91035,,+,,942,gene-b0082,"ECOCYC:EG11085,GeneID:944806",,rsmH,Gene,,,,,rsmH,protein_coding,"ECK0083,mraW,yabC",b0082,,,,,,,,,,
NC_000913.3,RefSeq,gene,91032,91397,,+,,366,gene-b0083,"ECOCYC:EG11086,GeneID:944803",,ftsL,Gene,,,,,ftsL,protein_coding,"ECK0084,mraR,yabD",b0083,,,,,,,,,,
NC_000913.3,RefSeq,gene,91413,93179,,+,,1767,gene-b0084,"ECOCYC:EG10341,GeneID:944799",,ftsI,Gene,,,,,ftsI,protein_coding,"ECK0085,pbpB,sep",b0084,,,,,,,,,,
NC_000913.3,RefSeq,gene,92485,92658,,+,,174,gene-b4810,"ECOCYC:G0-17085,GeneID:71004551",,ftsO,Gene,,,,,ftsO,ncRNA,ECK4667,b4810,,,,,,,,,,
NC_000913.3,RefSeq,gene,93166,94653,,+,,1488,gene-b0085,"ECOCYC:EG10621,GeneID:944791",,murE,Gene,,,,,murE,protein_coding,ECK0086,b0085,,,,,,,,,,
NC_000913.3,RefSeq,gene,94650,96008,,+,,1359,gene-b0086,"ECOCYC:EG10622,GeneID:944813",,murF,Gene,,,,,murF,protein_coding,"ECK0087,mra",b0086,,,,,,,,,,
NC_000913.3,RefSeq,gene,96002,97084,,+,,1083,gene-b0087,"ECOCYC:EG10604,GeneID:944814",,mraY,Gene,,,,,mraY,protein_coding,"ECK0088,murX",b0087,,,,,,,,,,
NC_000913.3,RefSeq,gene,97087,98403,,+,,1317,gene-b0088,"ECOCYC:EG10620,GeneID:944818",,murD,Gene,,,,,murD,protein_coding,ECK0089,b0088,,,,,,,,,,
NC_000913.3,RefSeq,gene,98403,99647,,+,,1245,gene-b0089,"ECOCYC:EG10344,GeneID:946322",,ftsW,Gene,,,,,ftsW,protein_coding,ECK0090,b0089,,,,,,,,,,
NC_000913.3,RefSeq,gene,99644,100711,,+,,1068,gene-b0090,"ECOCYC:EG10623,GeneID:946321",,murG,Gene,,,,,murG,protein_coding,ECK0091,b0090,,,,,,,,,,
NC_000913.3,RefSeq,gene,100765,102240,,+,,1476,gene-b0091,"ECOCYC:EG10619,GeneID:946153",,murC,Gene,,,,,murC,protein_coding,ECK0092,b0091,,,,,,,,,,
NC_000913.3,RefSeq,gene,102233,103153,,+,,921,gene-b0092,"ECOCYC:EG10214,GeneID:946324",,ddlB,Gene,,,,,ddlB,protein_coding,"ddl,ECK0093",b0092,,,,,,,,,,
NC_000913.3,RefSeq,gene,103155,103985,,+,,831,gene-b0093,"ECOCYC:EG10342,GeneID:944823",,ftsQ,Gene,,,,,ftsQ,protein_coding,ECK0094,b0093,,,,,,,,,,
NC_000913.3,RefSeq,gene,103982,105244,,+,,1263,gene-b0094,"ECOCYC:EG10339,GeneID:944778",,ftsA,Gene,,,,,ftsA,protein_coding,"divA,ECK0095",b0094,,,,,,,,,,
NC_000913.3,RefSeq,gene,104948,105499,,-,,552,gene-b4840,"ECOCYC:G0-17120,GeneID:302211663",,stfZ,Gene,,,,,stfZ,ncRNA,ECK4697,b4840,,,,,,,,,,
NC_000913.3,RefSeq,gene,105305,106456,,+,,1152,gene-b0095,"ECOCYC:EG10347,GeneID:944786",,ftsZ,Gene,,,,,ftsZ,protein_coding,"ECK0096,sfiB,sulB",b0095,,,,,,,,,,
NC_000913.3,RefSeq,gene,106557,107474,,+,,918,gene-b0096,"ECOCYC:EG10265,GeneID:944816",,lpxC,Gene,,,,,lpxC,protein_coding,"asmB,ECK0097,envA",b0096,,,,,,,,,,
NC_000913.3,RefSeq,gene,107705,108217,,+,,513,gene-b0097,"ECOCYC:EG11087,GeneID:944831",,secM,Gene,,,,,secM,protein_coding,"ECK0098,srrA,yacA",b0097,,,,,,,,,,
NC_000913.3,RefSeq,gene,108279,110984,,+,,2706,gene-b0098,"ECOCYC:EG10936,GeneID:944821",,secA,Gene,,,,,secA,protein_coding,"azi,ECK0099,pea,prlD",b0098,,,,,,,,,,
NC_000913.3,RefSeq,gene,111044,111433,,+,,390,gene-b0099,"ECOCYC:EG10626,GeneID:944824",,mutT,Gene,,,,,mutT,protein_coding,"ECK0100,nudA",b0099,,,,,,,,,,
NC_000913.3,RefSeq,gene,111649,111846,,-,,198,gene-b0101,"ECOCYC:EG12314,GeneID:945630",,yacG,Gene,,,,,yacG,protein_coding,ECK0101,b0101,,,,,,,,,,
NC_000913.3,RefSeq,gene,111856,112599,,-,,744,gene-b0102,"ECOCYC:EG12313,GeneID:944873",,zapD,Gene,,,,,zapD,protein_coding,"ECK0102,yacF",b0102,,,,,,,,,,
NC_000913.3,RefSeq,gene,112599,113219,,-,,621,gene-b0103,"ECOCYC:EG12312,GeneID:949060",,coaE,Gene,,,,,coaE,protein_coding,"ECK0103,yacE",b0103,,,,,,,,,,
NC_000913.3,RefSeq,gene,113244,113288,,+,,45,gene-b4727,"ECOCYC:G0-16722,GeneID:38094935",,yacM,Gene,,,,,yacM,protein_coding,ECK4584,b4727,,,,,,,,,,
NC_000913.3,RefSeq,gene,113444,114487,,+,,1044,gene-b0104,"ECOCYC:EG10422,GeneID:948986",,guaC,Gene,,,,,guaC,protein_coding,ECK0104,b0104,,,,,,,,,,
NC_000913.3,RefSeq,gene,114522,115724,,-,,1203,gene-b0106,"ECOCYC:EG11798,GeneID:945806",,hofC,Gene,,,,,hofC,protein_coding,"ECK0105,hopC,yacD",b0106,,,,,,,,,,
NC_000913.3,RefSeq,gene,115714,117099,,-,,1386,gene-b0107,"ECOCYC:EG12106,GeneID:947481",,hofB,Gene,,,,,hofB,protein_coding,"ECK0106,hopB",b0107,,,,,,,,,,
NC_000913.3,RefSeq,gene,117109,117549,,-,,441,gene-b0108,"ECOCYC:EG12107,GeneID:945817",,ppdD,Gene,,,,,ppdD,protein_coding,ECK0107,b0108,,,,,,,,,,
NC_000913.3,RefSeq,gene,117752,118645,,-,,894,gene-b0109,"ECOCYC:EG11546,GeneID:948869",,nadC,Gene,,,,,nadC,protein_coding,ECK0108,b0109,,,,,,,,,,
NC_000913.3,RefSeq,gene,118733,119284,,+,,552,gene-b0110,"ECOCYC:EG10041,GeneID:948877",,ampD,Gene,,,,,ampD,protein_coding,ECK0109,b0110,,,,,,,,,,
NC_000913.3,RefSeq,gene,119281,120135,,+,,855,gene-b0111,"ECOCYC:EG10042,GeneID:946678",,ampE,Gene,,,,,ampE,protein_coding,ECK0110,b0111,,,,,,,,,,
NC_000913.3,RefSeq,gene,120178,121551,,-,,1374,gene-b0112,"ECOCYC:EG10084,GeneID:946018",,aroP,Gene,,,,,aroP,protein_coding,"aroR,ECK0111",b0112,,,,,,,,,,
NC_000913.3,RefSeq,gene,122092,122856,,+,,765,gene-b0113,"ECOCYC:EG11088,GeneID:944827",,pdhR,Gene,,,,,pdhR,protein_coding,"aceC,ECK0112,genA,yacB",b0113,,,,,,,,,,
NC_000913.3,RefSeq,gene,123017,125680,,+,,2664,gene-b0114,"ECOCYC:EG10024,GeneID:944834",,aceE,Gene,,,,,aceE,protein_coding,ECK0113,b0114,,,,,,,,,,
NC_000913.3,RefSeq,gene,125695,127587,,+,,1893,gene-b0115,"ECOCYC:EG10025,GeneID:944794",,aceF,Gene,,,,,aceF,protein_coding,ECK0114,b0115,,,,,,,,,,
NC_000913.3,RefSeq,gene,127912,129336,,+,,1425,gene-b0116,"ECOCYC:EG10543,GeneID:944854",,lpd,Gene,,,,,lpd,protein_coding,"dhl,ECK0115,lpdA",b0116,,,,,,,,,,
NC_000913.3,RefSeq,gene,129407,131260,,-,,1854,gene-b0117,"ECOCYC:EG12315,GeneID:944868",,yacH,Gene,,,,,yacH,protein_coding,ECK0116,b0117,,,,,,,,,,
NC_000913.3,RefSeq,gene,131615,134212,,+,,2598,gene-b0118,"ECOCYC:EG12316,GeneID:944864",,acnB,Gene,,,,,acnB,protein_coding,"ECK0117,yacI,yacJ",b0118,,,,,,,,,,
NC_000913.3,RefSeq,gene,134388,134750,,+,,363,gene-b0119,"ECOCYC:EG12605,GeneID:944809",,yacL,Gene,,,,,yacL,protein_coding,ECK0118,b0119,,,,,,,,,,
NC_000913.3,RefSeq,gene,134788,135582,,-,,795,gene-b0120,"ECOCYC:EG10962,GeneID:947719",,speD,Gene,,,,,speD,protein_coding,ECK0119,b0120,,,,,,,,,,
NC_000913.3,RefSeq,gene,135598,136464,,-,,867,gene-b0121,"ECOCYC:EG10963,GeneID:947726",,speE,Gene,,,,,speE,protein_coding,ECK0120,b0121,,,,,,,,,,
NC_000913.3,RefSeq,gene,136570,136917,,-,,348,gene-b0122,"ECOCYC:EG11089,GeneID:948472",,yacC,Gene,,,,,yacC,protein_coding,ECK0121,b0122,,,,,,,,,,
NC_000913.3,RefSeq,gene,137083,138633,,+,,1551,gene-b0123,"ECOCYC:EG12318,GeneID:947736",,cueO,Gene,,,,,cueO,protein_coding,"ECK0122,yacK",b0123,,,,,,,,,,
NC_000913.3,RefSeq,gene,138835,141225,,-,,2391,gene-b0124,"ECOCYC:EG10369,GeneID:944830",,gcd,Gene,,,,,gcd,protein_coding,ECK0123,b0124,,,,,,,,,,
NC_000913.3,RefSeq,gene,141431,141967,,+,,537,gene-b0125,"ECOCYC:EG20098,GeneID:946624",,hpt,Gene,,,,,hpt,protein_coding,ECK0124,b0125,,,,,,,,,,
