seqid,source,type,start,end,score,strand,phase,length,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,substrain,gene,gene_biotype,gene_synonym,locus_tag,Parent,product,protein_id,transl_table,mobile_element_type,Note,pseudo,orig_protein_id,exception,transl_except
NC_000913.3,RefSeq,CDS,14168,15298,,+,0,1131,cds-NP_414556.1,"UniProtKB/Swiss-Prot:P08622,GenBank:NP_414556.1,ECOCYC:EG10240,GeneID:944753",,NP_414556.1,CDS,,,,,dnaJ,,,b0015,gene-b0015,chaperone protein DnaJ,NP_414556.1,11,,,,,,
NC_000913.3,RefSeq,CDS,15445,16557,,+,0,1113,cds-NP_414557.1,"UniProtKB/Swiss-Prot:P0CF91,GenBank:NP_414557.1,ECOCYC:G6083,GeneID:944754",,NP_414557.1,CDS,,,,,insL1,,,b0016,gene-b0016,IS186/IS421 family transposase,NP_414557.1,11,,,,,,
NC_000913.3,RefSeq,CDS,16751,16960,,-,0,210,cds-NP_414559.1,"UniProtKB/Swiss-Prot:P33236,GenBank:NP_414559.1,ECOCYC:EG10373,GeneID:944756",,NP_414559.1,CDS,,,,,mokC,,,b0018,gene-b0018,regulatory protein MokC,NP_414559.1,11,,,,,,
NC_000913.3,RefSeq,CDS,16751,16903,,-,0,153,cds-YP_025292.1,"UniProtKB/Swiss-Prot:P0ACG4,GenBank:YP_025292.1,ECOCYC:G0-9563,GeneID:2847744",,YP_025292.1,CDS,,,,,hokC,,,b4412,gene-b4412,small toxic polypeptide HokC,YP_025292.1,11,,,,,,
NC_000913.3,RefSeq,CDS,17489,18655,,+,0,1167,cds-NP_414560.1,"UniProtKB/Swiss-Prot:P13738,GenBank:NP_414560.1,ECOCYC:EG10652,GeneID:944758",,NP_414560.1,CDS,,,,,nhaA,,,b0019,gene-b0019,Na(+):H(+) antiporter NhaA,NP_414560.1,11,,,,,,
NC_000913.3,RefSeq,CDS,18715,19620,,+,0,906,cds-NP_414561.1,"UniProtKB/Swiss-Prot:P0A9G2,GenBank:NP_414561.1,ECOCYC:EG11078,GeneID:944757",,NP_414561.1,CDS,,,,,nhaR,,,b0020,gene-b0020,DNA-binding transcriptional activator NhaR,NP_414561.1,11,,,,,,
NC_000913.3,RefSeq,CDS,19811,20314,,-,0,504,cds-NP_414562.1,"UniProtKB/Swiss-Prot:P0CF25,GenBank:NP_414562.1,ECOCYC:G6085,GeneID:944743",,NP_414562.1,CDS,,,,,insB1,,,b0021,gene-b0021,IS1 family protein InsB,NP_414562.1,11,,,,,,
NC_000913.3,RefSeq,CDS,20233,20508,,-,0,276,cds-NP_414563.1,"UniProtKB/Swiss-Prot:P0CF07,GenBank:NP_414563.1,ECOCYC:G6086,GeneID:948449",,NP_414563.1,CDS,,,,,insA1,,,b0022,gene-b0022,IS1 family protein InsA,NP_414563.1,11,,,,,,
NC_000913.3,RefSeq,CDS,20815,21078,,-,0,264,cds-NP_414564.1,"UniProtKB/Swiss-Prot:P0A7U7,GenBank:NP_414564.1,ECOCYC:EG10919,GeneID:944759",,NP_414564.1,CDS,,,,,rpsT,,,b0023,gene-b0023,30S ribosomal subunit protein S20,NP_414564.1,11,,,,,,
NC_000913.3,RefSeq,CDS,21181,21399,,+,0,219,cds-NP_414565.1,"UniProtKB/Swiss-Prot:P75620,GenBank:NP_414565.1,ECOCYC:G6087,GeneID:949128",,NP_414565.1,CDS,,,,,yaaY,,,b0024,gene-b0024,DUF2575 domain-containing protein YaaY,NP_414565.1,11,,,,,,
NC_000913.3,RefSeq,CDS,21407,22348,,+,0,942,cds-NP_414566.1,"UniProtKB/Swiss-Prot:P0AG40,GenBank:NP_414566.1,ECOCYC:EG11079,GeneID:949129",,NP_414566.1,CDS,,,,,ribF,,,b0025,gene-b0025,bifunctional riboflavin kinase/FMN adenylyltransferase,NP_414566.1,11,,,,,,
NC_000913.3,RefSeq,CDS,22391,25207,,+,0,2817,cds-NP_414567.1,"UniProtKB/Swiss-Prot:P00956,GenBank:NP_414567.1,ECOCYC:EG10492,GeneID:944761",,NP_414567.1,CDS,,,,,ileS,,,b0026,gene-b0026,isoleucine--tRNA ligase,NP_414567.1,11,,,,,,
NC_000913.3,RefSeq,CDS,25207,25701,,+,0,495,cds-NP_414568.1,"UniProtKB/Swiss-Prot:P00804,GenBank:NP_414568.1,ECOCYC:EG10548,GeneID:944800",,NP_414568.1,CDS,,,,,lspA,,,b0027,gene-b0027,lipoprotein signal peptidase,NP_414568.1,11,,,,,,
NC_000913.3,RefSeq,CDS,25826,26275,,+,0,450,cds-NP_414569.1,"UniProtKB/Swiss-Prot:P0AEM0,GenBank:NP_414569.1,ECOCYC:EG11080,GeneID:944807",,NP_414569.1,CDS,,,,,fkpB,,,b0028,gene-b0028,peptidyl-prolyl cis-trans isomerase FkpB,NP_414569.1,11,,,,,,
NC_000913.3,RefSeq,CDS,26277,27227,,+,0,951,cds-NP_414570.1,"UniProtKB/Swiss-Prot:P62623,GenBank:NP_414570.1,ECOCYC:EG11081,GeneID:944777",,NP_414570.1,CDS,,,,,ispH,,,b0029,gene-b0029,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NP_414570.1,11,,,,,,
NC_000913.3,RefSeq,CDS,27293,28207,,+,0,915,cds-NP_414571.1,"UniProtKB/Swiss-Prot:P22564,GenBank:NP_414571.1,ECOCYC:EG11082,GeneID:944796",,NP_414571.1,CDS,,,,,rihC,,,b0030,gene-b0030,ribonucleoside hydrolase RihC,NP_414571.1,11,,,,,,
NC_000913.3,RefSeq,CDS,28374,29195,,+,0,822,cds-NP_414572.1,"UniProtKB/Swiss-Prot:P04036,GenBank:NP_414572.1,ECOCYC:EG10206,GeneID:944762",,NP_414572.1,CDS,,,,,dapB,,,b0031,gene-b0031,4-hydroxy-tetrahydrodipicolinate reductase,NP_414572.1,11,,,,,,
NC_000913.3,RefSeq,CDS,29651,30799,,+,0,1149,cds-NP_414573.1,"UniProtKB/Swiss-Prot:P0A6F1,GenBank:NP_414573.1,ECOCYC:EG10134,GeneID:949025",,NP_414573.1,CDS,,,,,carA,,,b0032,gene-b0032,carbamoyl-phosphate synthetase small subunit,NP_414573.1,11,,,,,,
NC_000913.3,RefSeq,CDS,30817,34038,,+,0,3222,cds-NP_414574.1,"UniProtKB/Swiss-Prot:P00968,GenBank:NP_414574.1,ECOCYC:EG10135,GeneID:944775",,NP_414574.1,CDS,,,,,carB,,,b0033,gene-b0033,carbamoyl-phosphate synthetase large subunit,NP_414574.1,11,,,,,,
NC_000913.3,RefSeq,CDS,34300,34695,,+,0,396,cds-NP_414576.4,"UniProtKB/Swiss-Prot:P0AE58,GenBank:NP_414576.4,ECOCYC:G6088,GeneID:944795",,NP_414576.4,CDS,,,,,caiF,,,b0034,gene-b0034,DNA-binding transcriptional activator CaiF,NP_414576.4,11,,,,,,
NC_000913.3,RefSeq,CDS,34781,35371,,-,0,591,cds-NP_414577.2,"UniProtKB/Swiss-Prot:P39206,GenBank:NP_414577.2,ECOCYC:EG12608,GeneID:948999",,NP_414577.2,CDS,,,,,caiE,,,b0035,gene-b0035,putative transferase CaiE,NP_414577.2,11,,,,,,
NC_000913.3,RefSeq,CDS,35377,36162,,-,0,786,cds-NP_414578.2,"UniProtKB/Swiss-Prot:P31551,GenBank:NP_414578.2,ECOCYC:EG11557,GeneID:948995",,NP_414578.2,CDS,,,,,caiD,,,b0036,gene-b0036,crotonobetainyl-CoA hydratase,NP_414578.2,11,,,,,,
NC_000913.3,RefSeq,CDS,36271,37824,,-,0,1554,cds-NP_414579.4,"UniProtKB/Swiss-Prot:P31552,GenBank:NP_414579.4,ECOCYC:EG11558,GeneID:944886",,NP_414579.4,CDS,,,,,caiC,,,b0037,gene-b0037,carnitine--CoA ligase,NP_414579.4,11,,,,,,
NC_000913.3,RefSeq,CDS,37898,39115,,-,0,1218,cds-NP_414580.1,"UniProtKB/Swiss-Prot:P31572,GenBank:NP_414580.1,ECOCYC:EG11559,GeneID:948997",,NP_414580.1,CDS,,,,,caiB,,,b0038,gene-b0038,gamma-butyrobetainyl-CoA:carnitine CoA transferase,NP_414580.1,11,,,,,,
NC_000913.3,RefSeq,CDS,39244,40386,,-,0,1143,cds-NP_414581.1,"UniProtKB/Swiss-Prot:P60584,GenBank:NP_414581.1,ECOCYC:EG11560,GeneID:949064",,NP_414581.1,CDS,,,,,caiA,,,b0039,gene-b0039,crotonobetainyl-CoA reductase,NP_414581.1,11,,,,,,
NC_000913.3,RefSeq,CDS,40417,41931,,-,0,1515,cds-NP_414582.1,"UniProtKB/Swiss-Prot:P31553,GenBank:NP_414582.1,ECOCYC:EG11561,GeneID:944765",,NP_414582.1,CDS,,,,,caiT,,,b0040,gene-b0040,L-carnitine:gamma-butyrobetaine antiporter,NP_414582.1,11,,,,,,
NC_000913.3,RefSeq,CDS,42403,43173,,+,0,771,cds-NP_414583.2,"UniProtKB/Swiss-Prot:P60566,GenBank:NP_414583.2,ECOCYC:EG11562,GeneID:947316",,NP_414583.2,CDS,,,,,fixA,,,b0041,gene-b0041,putative electron transfer flavoprotein FixA,NP_414583.2,11,,,,,,
NC_000913.3,RefSeq,CDS,43188,44129,,+,0,942,cds-NP_414584.1,"UniProtKB/Swiss-Prot:P31574,GenBank:NP_414584.1,ECOCYC:EG11563,GeneID:948939",,NP_414584.1,CDS,,,,,fixB,,,b0042,gene-b0042,putative electron transfer flavoprotein FixB,NP_414584.1,11,,,,,,
NC_000913.3,RefSeq,CDS,44180,45466,,+,0,1287,cds-NP_414585.1,"UniProtKB/Swiss-Prot:P68644,GenBank:NP_414585.1,ECOCYC:EG11564,GeneID:948958",,NP_414585.1,CDS,,,,,fixC,,,b0043,gene-b0043,putative oxidoreductase FixC,NP_414585.1,11,,,,,,
NC_000913.3,RefSeq,CDS,45463,45750,,+,0,288,cds-NP_414586.1,"UniProtKB/Swiss-Prot:P68646,GenBank:NP_414586.1,ECOCYC:EG11565,GeneID:948590",,NP_414586.1,CDS,,,,,fixX,,,b0044,gene-b0044,putative ferredoxin FixX,NP_414586.1,11,,,,,,
NC_000913.3,RefSeq,CDS,45807,47138,,+,0,1332,cds-NP_414587.1,"UniProtKB/Swiss-Prot:P31679,GenBank:NP_414587.1,ECOCYC:EG11566,GeneID:944766",,NP_414587.1,CDS,,,,,yaaU,,,b0045,gene-b0045,putative transporter YaaU,NP_414587.1,11,,,,,,
NC_000913.3,RefSeq,CDS,47246,47776,,+,0,531,cds-NP_414588.1,"UniProtKB/Swiss-Prot:P0A754,GenBank:NP_414588.1,ECOCYC:EG11568,GeneID:944767",,NP_414588.1,CDS,,,,,kefF,,,b0046,gene-b0046,regulator of KefC-mediated potassium transport and quinone oxidoreductase,NP_414588.1,11,,,,,,
NC_000913.3,RefSeq,CDS,47769,49631,,+,0,1863,cds-NP_414589.1,"UniProtKB/Swiss-Prot:P03819,GenBank:NP_414589.1,ECOCYC:EG10521,GeneID:944773",,NP_414589.1,CDS,,,,,kefC,,,b0047,gene-b0047,K(+) : H(+) antiporter KefC,NP_414589.1,11,,,,,,
NC_000913.3,RefSeq,CDS,49823,50302,,+,0,480,cds-NP_414590.1,"UniProtKB/Swiss-Prot:P0ABQ4,GenBank:NP_414590.1,ECOCYC:EG10326,GeneID:944790",,NP_414590.1,CDS,,,,,folA,,,b0048,gene-b0048,dihydrofolate reductase,NP_414590.1,11,,,,,,
NC_000913.3,RefSeq,CDS,50380,51222,,-,0,843,cds-NP_414591.1,"UniProtKB/Swiss-Prot:P05637,GenBank:NP_414591.1,ECOCYC:EG10048,GeneID:944770",,NP_414591.1,CDS,,,,,apaH,,,b0049,gene-b0049,diadenosine tetraphosphatase,NP_414591.1,11,,,,,,
NC_000913.3,RefSeq,CDS,51229,51606,,-,0,378,cds-NP_414592.1,"UniProtKB/Swiss-Prot:P62672,GenBank:NP_414592.1,ECOCYC:EG10047,GeneID:944772",,NP_414592.1,CDS,,,,,apaG,,,b0050,gene-b0050,DUF525 domain-containing protein ApaG,NP_414592.1,11,,,,,,
NC_000913.3,RefSeq,CDS,51609,52430,,-,0,822,cds-NP_414593.1,"UniProtKB/Swiss-Prot:P06992,GenBank:NP_414593.1,ECOCYC:EG10523,GeneID:944939",,NP_414593.1,CDS,,,,,rsmA,,,b0051,gene-b0051,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,NP_414593.1,11,,,,,,
NC_000913.3,RefSeq,CDS,52427,53416,,-,0,990,cds-NP_414594.1,"UniProtKB/Swiss-Prot:P19624,GenBank:NP_414594.1,ECOCYC:EG10691,GeneID:944919",,NP_414594.1,CDS,,,,,pdxA,,,b0052,gene-b0052,4-hydroxythreonine-4-phosphate dehydrogenase,NP_414594.1,11,,,,,,
NC_000913.3,RefSeq,CDS,53416,54702,,-,0,1287,cds-NP_414595.1,"UniProtKB/Swiss-Prot:P0ABZ6,GenBank:NP_414595.1,ECOCYC:EG10985,GeneID:944812",,NP_414595.1,CDS,,,,,surA,,,b0053,gene-b0053,chaperone SurA,NP_414595.1,11,,,,,,
NC_000913.3,RefSeq,CDS,54755,57109,,-,0,2355,cds-NP_414596.1,"UniProtKB/Swiss-Prot:P31554,GenBank:NP_414596.1,ECOCYC:EG11569,GeneID:945011",,NP_414596.1,CDS,,,,,lptD,,,b0054,gene-b0054,lipopolysaccharide assembly protein LptD,NP_414596.1,11,,,,,,
NC_000913.3,RefSeq,CDS,57364,58179,,+,0,816,cds-NP_414597.1,"UniProtKB/Swiss-Prot:P31680,GenBank:NP_414597.1,ECOCYC:EG11570,GeneID:948992",,NP_414597.1,CDS,,,,,djlA,,,b0055,gene-b0055,co-chaperone protein DjlA,NP_414597.1,11,,,,,,
NC_000913.3,RefSeq,CDS,58474,59124,,+,0,651,cds-YP_009518734.1,"UniProtKB/Swiss-Prot:P39220,GenBank:YP_009518734.1,ECOCYC:EG12610,GeneID:945039",,YP_009518734.1,CDS,,,,,yabP,,,b0056,gene-b0056,putative uncharacterized protein YabP,YP_009518734.1,11,,,,,,
NC_000913.3,RefSeq,CDS,59121,59279,,+,0,159,cds-YP_009518735.1,"UniProtKB/Swiss-Prot:P39221,GenBank:YP_009518735.1,ECOCYC:EG12611,GeneID:38094933",,YP_009518735.1,CDS,,,,,yabQ,,,b0057,gene-b0057,protein YabQ,YP_009518735.1,11,,,,,,
NC_000913.3,RefSeq,CDS,59687,60346,,-,0,660,cds-NP_414600.1,"UniProtKB/Swiss-Prot:P0AA37,GenBank:NP_414600.1,ECOCYC:EG12609,GeneID:946262",,NP_414600.1,CDS,,,,,rluA,,,b0058,gene-b0058,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,NP_414600.1,11,,,,,,
NC_000913.3,RefSeq,CDS,60358,63264,,-,0,2907,cds-NP_414601.1,"UniProtKB/Swiss-Prot:P60240,GenBank:NP_414601.1,ECOCYC:EG11083,GeneID:948523",,NP_414601.1,CDS,,,,,rapA,,,b0059,gene-b0059,RNA polymerase-binding ATPase and RNAP recycling factor,NP_414601.1,11,,,,,,
NC_000913.3,RefSeq,CDS,63429,65780,,-,0,2352,cds-NP_414602.1,"UniProtKB/Swiss-Prot:P21189,GenBank:NP_414602.1,ECOCYC:EG10747,GeneID:944779",,NP_414602.1,CDS,,,,,polB,,,b0060,gene-b0060,DNA polymerase II,NP_414602.1,11,,,,,,
NC_000913.3,RefSeq,CDS,65855,66550,,-,0,696,cds-NP_414603.1,"UniProtKB/Swiss-Prot:P08203,GenBank:NP_414603.1,ECOCYC:EG10055,GeneID:945294",,NP_414603.1,CDS,,,,,araD,,,b0061,gene-b0061,L-ribulose-5-phosphate 4-epimerase AraD,NP_414603.1,11,,,,,,
NC_000913.3,RefSeq,CDS,66835,68337,,-,0,1503,cds-NP_414604.1,"UniProtKB/Swiss-Prot:P08202,GenBank:NP_414604.1,ECOCYC:EG10052,GeneID:947511",,NP_414604.1,CDS,,,,,araA,,,b0062,gene-b0062,L-arabinose isomerase,NP_414604.1,11,,,,,,
NC_000913.3,RefSeq,CDS,68348,70048,,-,0,1701,cds-NP_414605.1,"UniProtKB/Swiss-Prot:P08204,GenBank:NP_414605.1,ECOCYC:EG10053,GeneID:946017",,NP_414605.1,CDS,,,,,araB,,,b0063,gene-b0063,ribulokinase,NP_414605.1,11,,,,,,
NC_000913.3,RefSeq,CDS,70387,71265,,+,0,879,cds-NP_414606.1,"UniProtKB/Swiss-Prot:P0A9E0,GenBank:NP_414606.1,ECOCYC:EG10054,GeneID:944780",,NP_414606.1,CDS,,,,,araC,,,b0064,gene-b0064,DNA-binding transcriptional dual regulator AraC,NP_414606.1,11,,,,,,
NC_000913.3,RefSeq,CDS,71351,72115,,+,0,765,cds-NP_414607.1,"UniProtKB/Swiss-Prot:P30149,GenBank:NP_414607.1,ECOCYC:EG11571,GeneID:944783",,NP_414607.1,CDS,,,,,yabI,,,b0065,gene-b0065,DedA family protein YabI,NP_414607.1,11,,,,,,
NC_000913.3,RefSeq,CDS,72229,72927,,-,0,699,cds-NP_414608.1,"UniProtKB/Swiss-Prot:P31548,GenBank:NP_414608.1,ECOCYC:EG11572,GeneID:944785",,NP_414608.1,CDS,,,,,thiQ,,,b0066,gene-b0066,thiamine ABC transporter ATP binding subunit,NP_414608.1,11,,,,,,
NC_000913.3,RefSeq,CDS,72911,74521,,-,0,1611,cds-NP_414609.1,"UniProtKB/Swiss-Prot:P31549,GenBank:NP_414609.1,ECOCYC:EG11573,GeneID:944784",,NP_414609.1,CDS,,,,,thiP,,,b0067,gene-b0067,thiamine ABC transporter membrane subunit,NP_414609.1,11,,,,,,
NC_000913.3,RefSeq,CDS,74497,75480,,-,0,984,cds-NP_414610.1,"UniProtKB/Swiss-Prot:P31550,GenBank:NP_414610.1,ECOCYC:EG11574,GeneID:946306",,NP_414610.1,CDS,,,,,thiB,,,b0068,gene-b0068,thiamine ABC transporter periplasmic binding protein,NP_414610.1,11,,,,,,
NC_000913.3,RefSeq,CDS,75644,77299,,-,0,1656,cds-NP_414611.1,"UniProtKB/Swiss-Prot:P33595,GenBank:NP_414611.1,ECOCYC:EG12094,GeneID:944788",,NP_414611.1,CDS,,,,,sgrR,,,b0069,gene-b0069,DNA-binding transcriptional dual regulator SgrR,NP_414611.1,11,,,,,,
NC_000913.3,RefSeq,CDS,77388,77519,,+,0,132,cds-YP_002791237.1,"UniProtKB/Swiss-Prot:C1P5Z7,GenBank:YP_002791237.1,ECOCYC:G0-10617,GeneID:7751624",,YP_002791237.1,CDS,,,,,sgrT,,,b4662,gene-b4662,PtsG glucose transporter inhibitor,YP_002791237.1,11,,,,,,
NC_000913.3,RefSeq,CDS,77621,78799,,+,0,1179,cds-YP_025293.1,"UniProtKB/Swiss-Prot:P31675,GenBank:YP_025293.1,ECOCYC:EG11754,GeneID:944793",,YP_025293.1,CDS,,,,,setA,,,b0070,gene-b0070,sugar exporter SetA,YP_025293.1,11,,,,,,
NC_000913.3,RefSeq,CDS,78848,79453,,-,0,606,cds-NP_414613.1,"UniProtKB/Swiss-Prot:P30126,GenBank:NP_414613.1,ECOCYC:EG11575,GeneID:945642",,NP_414613.1,CDS,,,,,leuD,,,b0071,gene-b0071,3-isopropylmalate dehydratase subunit LeuD,NP_414613.1,11,,,,,,
NC_000913.3,RefSeq,CDS,79464,80864,,-,0,1401,cds-NP_414614.1,"UniProtKB/Swiss-Prot:P0A6A6,GenBank:NP_414614.1,ECOCYC:EG11576,GeneID:945076",,NP_414614.1,CDS,,,,,leuC,,,b0072,gene-b0072,3-isopropylmalate dehydratase subunit LeuC,NP_414614.1,11,,,,,,
NC_000913.3,RefSeq,CDS,80867,81958,,-,0,1092,cds-NP_414615.4,"UniProtKB/Swiss-Prot:P30125,GenBank:NP_414615.4,ECOCYC:EG11577,GeneID:944798",,NP_414615.4,CDS,,,,,leuB,,,b0073,gene-b0073,3-isopropylmalate dehydrogenase,NP_414615.4,11,,,,,,
NC_000913.3,RefSeq,CDS,81958,83529,,-,0,1572,cds-NP_414616.1,"UniProtKB/Swiss-Prot:P09151,GenBank:NP_414616.1,ECOCYC:EG11226,GeneID:947465",,NP_414616.1,CDS,,,,,leuA,,,b0074,gene-b0074,2-isopropylmalate synthase,NP_414616.1,11,,,,,,
NC_000913.3,RefSeq,CDS,83622,83708,,-,0,87,cds-NP_414617.1,"UniProtKB/Swiss-Prot:P0AD79,GenBank:NP_414617.1,ECOCYC:EG11280,GeneID:946072",,NP_414617.1,CDS,,,,,leuL,,,b0075,gene-b0075,leu operon leader peptide,NP_414617.1,11,,,,,,
NC_000913.3,RefSeq,CDS,84368,85312,,+,0,945,cds-NP_414618.4,"UniProtKB/Swiss-Prot:P10151,GenBank:NP_414618.4,ECOCYC:EG10531,GeneID:949034",,NP_414618.4,CDS,,,,,leuO,,,b0076,gene-b0076,DNA-binding transcriptional dual regulator LeuO,NP_414618.4,11,,,,,,
NC_000913.3,RefSeq,CDS,85467,85511,,-,0,45,cds-YP_009518736.1,"UniProtKB/Swiss-Prot:P0DPM5,GenBank:YP_009518736.1,ECOCYC:G0-16721,GeneID:38094934",,YP_009518736.1,CDS,,,,,yabR,,,b4726,gene-b4726,protein YabR,YP_009518736.1,11,,,,,,
NC_000913.3,RefSeq,CDS,85630,87354,,+,0,1725,cds-YP_025294.2,"UniProtKB/Swiss-Prot:P00893,GenBank:YP_025294.2,ECOCYC:EG10500,GeneID:948793",,YP_025294.2,CDS,,,,,ilvI,,,b0077,gene-b0077,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,YP_025294.2,11,,,,,,
NC_000913.3,RefSeq,CDS,87357,87848,,+,0,492,cds-NP_414620.1,"UniProtKB/Swiss-Prot:P00894,GenBank:NP_414620.1,ECOCYC:EG10499,GeneID:947267",,NP_414620.1,CDS,,,,,ilvH,,,b0078,gene-b0078,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,NP_414620.1,11,,,,,,
NC_000913.3,RefSeq,CDS,88028,89032,,+,0,1005,cds-NP_414622.1,"UniProtKB/Swiss-Prot:P0ACP1,GenBank:NP_414622.1,ECOCYC:EG10338,GeneID:944804",,NP_414622.1,CDS,,,,,cra,,,b0080,gene-b0080,DNA-binding transcriptional regulator Cra,NP_414622.1,11,,,,,,
NC_000913.3,RefSeq,CDS,89634,90092,,+,0,459,cds-NP_414623.1,"UniProtKB/Swiss-Prot:P22186,GenBank:NP_414623.1,ECOCYC:EG11084,GeneID:944810",,NP_414623.1,CDS,,,,,mraZ,,,b0081,gene-b0081,DNA-binding transcriptional repressor MraZ,NP_414623.1,11,,,,,,
NC_000913.3,RefSeq,CDS,90094,91035,,+,0,942,cds-NP_414624.1,"UniProtKB/Swiss-Prot:P60390,GenBank:NP_414624.1,ECOCYC:EG11085,GeneID:944806",,NP_414624.1,CDS,,,,,rsmH,,,b0082,gene-b0082,16S rRNA m(4)C1402 methyltransferase,NP_414624.1,11,,,,,,
